"parameter","value","units","description","source","confidence"
"K_CD8_I",1000,"cells","CD8 activation saturation (I) — lowered for low-antigen priming","Calibrated (prevents viral rebound)","medium"
"k_CD8_F",3,"AU/day","CD8 priming by IFN-I (upscaled for delay chain)","Calibrated","low"
"K_CD8_F",20,"AU","CD8 activation saturation (F_I) — lowered for low-antigen priming","Calibrated (prevents viral rebound)","medium"
"k_mat",0.14,"/day","CD8_N to CD8_E maturation rate (delay ~7d)","PMID:21525363 (T cell expansion kinetics)","medium"
"d_CD8_N",0.05,"/day","Primed CD8 decay (t1/2 ~14d)","General viral immunology","low"
"d_CD8_E",0.1,"/day","Effector CD8 decay (t1/2 ~7d)","General viral immunology","medium"
"alpha_CD4_help",2,"dimensionless","CD4 help max boost for CD8","Assumed (T cell help)","low"
"K_CD4_help",5,"AU","CD4 help half-max for CD8","Assumed","low"
"delta_CD8",0.001,"1/(AU*day)","CD8-mediated infected cell clearance","Calibrated (CD8 killing)","low"
"k_P_CD8",0.005,"/day","Permeability drive by CD8_E bystander (IL-15/NKG2D)","PMID:36590594","low"
"k_IgM",0.3,"AU/day","IgM production rate","Assumed (B cell kinetics, PMID:2902106)","low"
"d_IgM",0.03,"/day","IgM decay (t1/2 ~ 23d)","PUUV IgM kinetics (PMID:2902106)","medium"
"K_CD4_B",5,"AU","CD4 help half-max for B cells","Assumed","low"
"k_switch",0.05,"/day","IgM to IgG class switch rate","Assumed (class switch)","low"
"k_IgG_direct",0.02,"/day","Antigen-driven (I) IgG production rate","Assumed (germinal center kinetics)","low"
"K_IgG",500,"cells","Antigen half-max for direct IgG production","Assumed","low"
"d_IgG",0.033,"/day","IgG decay (t1/2 ~ 21d)","General antibody kinetics","medium"
"k_neut_IgM",0.005,"1/(AU*day)","IgM neutralization rate","Calibrated (lower affinity)","low"
"k_neut_IgG",0.05,"1/(AU*day)","IgG neutralization rate (higher affinity)","Calibrated (PMID:30463919)","low"
"k_PV",0.5,"/day","Permeability drive by virus (norm to V_ref)","Assumed","low"
"k_PC",0.1,"/day","Permeability drive by cytokines (norm)","Literature (cytokine storm)","medium"
"d_P",0.5,"/day","Permeability recovery rate","Assumed (endothelial repair)","low"
"k_PLT_prod",25000,"platelets/uL/day","Platelet production rate (balances baseline: prod/loss = PLT_0)","Physiology (normal turnover ~7-10d)","high"
"k_PLT_loss",0.1,"/day","Platelet natural loss","Physiology","high"
"k_PLT_cons",0.002,"/day","Platelet consumption per permeability (calibrated to ~40-50k/uL nadir)","Calibrated (consumption coagulopathy)","low"
"PLT_0",250000,"platelets/uL","Baseline platelet count","Clinical reference range","high"
"P_thresh",0.5,"dimensionless","Permeability threshold for fluid leak","Assumed","low"
"k_KP",0.15,"/day","Renal injury per permeability unit","Assumed","low"
"k_KC",0.05,"/day","Renal injury per cytokine unit (norm)","Assumed","low"
"k_KH",0.2,"/day","Renal injury from thrombocytopenia","Assumed","low"
"d_K",0.8,"/day","Renal recovery rate","Assumed","low"
"k_LP",0.2,"/day","Lung injury per permeability unit","Assumed","low"
"k_LC",0.075,"/day","Lung injury per cytokine unit (norm)","Assumed","low"
"k_Lfluid",0.2,"/day","Lung injury from fluid leak","Assumed","low"
"d_L",0.6,"/day","Lung recovery rate","Assumed","low"
"Vd_RBV",45,"L","Ribavirin volume of distribution (plasma)","FDA label / literature","high"
"CL_RBV_std",5,"L/day","Ribavirin effective clearance at eGFR=90 (t1/2=6.3d, RBC-adjusted)","Recalibrated from chronic dosing PK (t1/2=151h)","medium"
"k_hgb",9e-04,"(g/dL)/(ug/mL)/day","Hgb drop rate per RBV concentration in bounded toxicity submodel","Calibrated to clinical RBV-associated decline (~2-4 g/dL)","low"
"d_hgb",0.05,"/day","Hgb recovery rate","Physiology (RBC lifespan ~120d)","medium"
"Hgb_drop_max",4,"g/dL","Upper bound on modeled ribavirin-associated hemoglobin decline","Clinical constraint for 7-10 day IV RBV courses","medium"
"ka_FAV",36,"/day","Favipiravir absorption rate (1.5/h)","Madelain et al. 2016 (Clin Pharmacokinet)","high"
"Vd_FAV",30,"L","Favipiravir volume of distribution","FDA review","high"
"CL_FAV",192,"L/day","Favipiravir linear clearance (8 L/h)","Literature","high"
"CL_FAV_nl",96,"L/day","Favipiravir nonlinear clearance (4 L/h)","Literature (saturable metabolism)","medium"
"Km_FAV",50,"ug/mL","Michaelis constant for FAV nonlinear CL","Literature","medium"
"k_form",2.4,"/day","RTP formation rate (0.1/h)","Assumed (intracellular activation)","low"
"k_elim_RTP",1.2,"/day","RTP elimination rate (0.05/h)","Assumed (intracellular half-life)","low"
"Emax_RBV",0.7,"dimensionless","Max ribavirin effect (reduced for partial efficacy)","Calibrated for Huggins 7-fold RRR (JID 1991)","medium"
"EC50_RBV",8,"ug/mL","Ribavirin half-max (calibrated for Huggins 7-fold RRR; lit EC50 ~10-12 ug/mL)","Calibrated for Huggins JID 1991; lit EC50 HTNV ~40-50 uM","medium"
"gamma_RBV",1.5,"dimensionless","Hill coefficient for RBV","Assumed","low"
"Emax_FAV",0.98,"dimensionless","Max favipiravir antiviral effect","In vitro (broad-spectrum)","medium"
"EC50_FAV",0.5,"ug/mL","Favipiravir RTP half-max concentration","In vitro IC50 for RTP","medium"
"gamma_FAV",1.2,"dimensionless","Hill coefficient for FAV","Assumed","low"
"psi",0.1,"dimensionless","Synergy interaction coefficient","Assumed (Bliss + synergy)","low"
"rbv_immuno_scale",1,"dimensionless","Scale factor for ribavirin immunomodulatory effects","Ablation-control parameter","defined"
"rbv_endothelial_scale",1,"dimensionless","Scale factor for ribavirin direct endothelial protection","Ablation-control parameter","defined"
"rbv_recovery_scale",1,"dimensionless","Scale factor for ribavirin organ-injury recovery enhancement","Ablation-control parameter","defined"
"K50",30,"AU","K value for 50% renal mortality risk","Calibrated","medium"
"L50",100,"AU","L value for 50% lung mortality risk","Calibrated","medium"
"C50",300,"AU","C_pro value for 50% cytokine mortality risk","Calibrated","medium"
"K50_dialysis",70,"AU","K value for 50% dialysis risk (decoupled from mortality K50)","Calibrated (~40% placebo dialysis)","medium"
"L50_ecmo",400,"AU","L value for 50% ECMO risk (decoupled from mortality L50)","Calibrated (~28-30% placebo ECMO)","medium"
"w_K_HFRS",0.12,"dimensionless","Renal mortality weight for HFRS","Calibrated for ~10% HFRS placebo","medium"
"w_L_HFRS",0.02,"dimensionless","Lung mortality weight for HFRS","Calibrated","medium"
"w_C_HFRS",0.05,"dimensionless","Cytokine mortality weight for HFRS","Calibrated","medium"
"w_K_HCPS",0.02,"dimensionless","Renal mortality weight for HCPS","Calibrated","medium"
"w_L_HCPS",0.35,"dimensionless","Lung mortality weight for HCPS","Calibrated for ~40% HCPS placebo","medium"
"w_C_HCPS",0.1,"dimensionless","Cytokine mortality weight for HCPS","Calibrated","medium"
"w_auc",0.3,"dimensionless","Weight for AUC-based mortality component","Assumed (cumulative organ injury)","low"
"K_auc50",200,"day*AU","K AUC for 50% renal risk","Assumed","low"
"L_auc50",500,"day*AU","L AUC for 50% lung risk","Assumed","low"
"C_auc50",1500,"day*AU","C_pro AUC for 50% cytokine risk","Assumed","low"
"k_T_reg",0.3,"see code","Parameter defined in get_parameters(); metadata pending","Defined in model/parameters.R","low"
"symptom_onset_day",5,"see code","Parameter defined in get_parameters(); metadata pending","Defined in model/parameters.R","low"
"CL_RBV",5,"see code","Parameter defined in get_parameters(); metadata pending","Defined in model/parameters.R","low"
"eGFR_ref",90,"see code","Parameter defined in get_parameters(); metadata pending","Defined in model/parameters.R","low"
